,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
0,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,0h,Good,84.0,,Good,0.0,01/11/2018 0:00,1541027104
1,Barcelona - Eixample,Moderate,2.1538,41.3853,0h,Good,1.0,0h,Moderate,113.0,0h,Good,36.0,01/11/2018 0:00,1541027104
2,Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,10.0,0h,Good,73.0,,Good,0.0,01/11/2018 0:00,1541027104
3,Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2.0,0h,Good,86.0,,Good,0.0,01/11/2018 0:00,1541027104
4,Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,7.0,0h,Good,69.0,,Good,0.0,01/11/2018 0:00,1541027104
5,Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,11.0,23h,Good,57.0,23h,Good,23.0,01/11/2018 0:00,1541027104
6,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,23h,Good,86.0,23h,Good,32.0,01/11/2018 0:00,1541027104
7,Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,58.0,23h,Good,3.0,23h,Good,25.0,01/11/2018 0:00,1541027104
8,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,0h,Good,62.0,,Good,0.0,01/11/2018 1:00,1541030725
9,Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,6.0,0h,Good,80.0,1h,Good,35.0,01/11/2018 1:00,1541030725
10,Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,21.0,0h,Good,59.0,,Good,0.0,01/11/2018 1:00,1541030725
11,Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,4.0,0h,Good,78.0,,Good,0.0,01/11/2018 1:00,1541030725
12,Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,29.0,0h,Good,45.0,,Good,0.0,01/11/2018 1:00,1541030725
13,Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,27.0,0h,Good,38.0,1h,Good,24.0,01/11/2018 1:00,1541030725
14,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,0h,Good,75.0,1h,Good,32.0,01/11/2018 1:00,1541030725
15,Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,87.0,0h,Good,8.0,1h,Good,25.0,01/11/2018 1:00,1541030725
16,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,1h,Good,46.0,,Good,0.0,01/11/2018 2:00,1541034303
17,Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,14.0,1h,Good,64.0,1h,Good,34.0,01/11/2018 2:00,1541034303
18,Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,32.0,1h,Good,41.0,,Good,0.0,01/11/2018 2:00,1541034303
